    342 многий	    ^многий/*многий$ 
     38 ЯЭУ	     ^ЯЭУ/*ЯЭУ$ 
     38 СНГ	     ^СНГ/*СНГ$ 
     37 Русь	     ^Русь/*Русь$ 
     36 Чебоксарова	     ^Чебоксарова/*Чебоксарова$ 
     36 Дебоширин	     ^Дебоширин/*Дебоширин$ 
     36 вообще-то	     ^вообще/вообще<adv>$^-то/-то<part>$ 
     35 Синицын	     ^Синицын/*Синицын$ 
     34 Шохин	     ^Шохин/*Шохин$ 
     34 Марек	     ^Марек/*Марек$ 
     33 Пелипейко	     ^Пелипейко/*Пелипейко$ 
     33 нефтепродукт	     ^нефтепродукт/*нефтепродукт$ 
     33 НДС	     ^НДС/*НДС$ 
     31 КПРФ	     ^КПРФ/*КПРФ$ 
     30 Семин	     ^Семин/*Семин$ 
     29 санкхья	     ^санкхья/*санкхья$ 
     29 Раман	     ^Раман/*Раман$ 
     28 Фетисыч	     ^Фетисыч/*Фетисыч$ 
     28 ТСЖ	     ^ТСЖ/*ТСЖ$ 
     28 ОБСЕ	     ^ОБСЕ/*ОБСЕ$ 
     27 ФСБ	     ^ФСБ/*ФСБ$ 
     27 ОЮЛ	     ^ОЮЛ/*ОЮЛ$ 
     27 Ландсберг	     ^Ландсберг/*Ландсберг$ 
     27 КГБ	     ^КГБ/*КГБ$ 
     27 Бхартрихари	     ^Бхартрихари/*Бхартрихари$ 
     26 Кузьменко	     ^Кузьменко/*Кузьменко$ 
     26 Корзун	     ^Корзун/*Корзун$ 
     25 Шерлок	     ^Шерл/шерл<n><m><nn><sg><acc>/шерл<n><m><nn><sg><nom>$^ок/*ок$ 
     25 Холмс	     ^Холмс/*Холмс$ 
     25 Новгород	     ^Новгород/*Новгород$ 
     25 Альенде	     ^Альенде/*Альенде$ 
     24 Павлович	     ^Павлович/*Павлович$ 
     24 ВВП	     ^ВВП/*ВВП$ 
     24 Болдырева	     ^Болдырева/*Болдырева$ 
     24 Атабалы	     ^Атабалы/*Атабалы$ 
     24 Алеми	     ^Алеми/*Алеми$ 
     23 эп	     ^эп/*эп$ 
     23 хакерский	     ^хакерский/*хакерский$ 
     23 КПСС	     ^КПСС/*КПСС$ 
     23 Коротаев	     ^Коротаев/*Коротаев$ 
     23 Капустин	     ^Капустин/*Капустин$ 
     23 Грызлов	     ^Грызлов/*Грызлов$ 
     22 Ширвиндов	     ^Ширвиндов/*Ширвиндов$ 
     22 Номф	     ^Номф/*Номф$ 
     22 Кудрин	     ^Кудрин/*Кудрин$ 
     22 Копнев	     ^Копнев/*Копнев$ 
     22 Ильич	     ^Ильич/*Ильич$ 
     22 ЕС	     ^ЕС/*ЕС$ 
     22 брэнд	     ^брэнд/*брэнд$ 
     21 ООН	     ^ООН/*ООН$ 
     21 НИИ	     ^НИИ/*НИИ$ 
     21 Немцов	     ^Немцов/*Немцов$ 
     21 Дж	     ^Дж/*Дж$ 
     21 Данильцев	     ^Данильцев/*Данильцев$ 
     20 фЯМР	     ^фЯМР/*фЯМР$ 
     20 Михайловна	     ^Михайловна/*Михайловна$ 
     20 Лосик	     ^Лосик/*Лосик$ 
     20 лада-эверест	     ^лада/лад<n><m><nn><sg><gen>/лада<n><f><aa><sg><nom>/лада<n><f><nn><sg><nom>/лада<n><m><aa><sg><nom>/ладо<n><m><aa><pl><nom>/ладо<n><m><aa><sg><gen>/ладо<n><nt><aa><pl><nom>/ладо<n><nt><aa><sg><gen>$^-/-<guio>$^эверест/*эверест$ 
     20 Илья	     ^Илья/*Илья$ 
     20 Жириновский	     ^Жириновский/*Жириновский$ 
     19 Юшенков	     ^Юшенков/*Юшенков$ 
     19 Шмаков	     ^Шмаков/*Шмаков$ 
     19 хроноп	     ^хроноп/*хроноп$ 
     19 РВСН	     ^РВСН/*РВСН$ 
     19 питер	     ^питер/*питер$ 
     19 Задорнов	     ^Задорнов/*Задорнов$ 
     19 ГД	     ^ГД/*ГД$ 
     19 Гаудапада	     ^Гаудапада/*Гаудапада$ 
     18 Державиндт	     ^Державиндт/*Державиндт$ 
     17 Элис	     ^Элис/*Элис$ 
     17 ЭВМ	     ^ЭВМ/*ЭВМ$ 
     17 Шалвович	     ^Шалвович/*Шалвович$ 
     17 Чубайс	     ^Чубайс/*Чубайс$ 
     17 ностратический	     ^ностратический/*ностратический$ 
     17 Масяня	     ^Масяня/*Масяня$ 
     17 Лукойл	     ^Лукойл/*Лукойл$ 
     17 Леночка	     ^Леночка/*Леночка$ 
     17 Аис	     ^Аис/*Аис$ 
     16 Старостин	     ^Старостин/*Старостин$ 
     16 РНК	     ^РНК/*РНК$ 
     16 пшеворский	     ^пшеворский/*пшеворский$ 
     16 ПВО	     ^ПВО/*ПВО$ 
     16 Мэси	     ^Мэси/*Мэси$ 
     16 ЛФТ	     ^ЛФТ/*ЛФТ$ 
     16 КС	     ^КС/*КС$ 
     16 Круглов	     ^Круглов/*Круглов$ 
     16 григорьевский	     ^григорьевский/*григорьевский$ 
     16 Глаша	     ^Глаша/*Глаша$ 
     16 Визенталь	     ^Визенталь/*Визенталь$ 
     16 а-а	     ^а/а<cnjcoo>/а²<n><nt><nn><pl><acc>/а²<n><nt><nn><pl><dat>/а²<n><nt><nn><pl><gen>/а²<n><nt><nn><pl><ins>/а²<n><nt><nn><pl><nom>/а²<n><nt><nn><pl><prp>/а²<n><nt><nn><sg><acc>/а²<n><nt><nn><sg><dat>/а²<n><nt><nn><sg><gen>/а²<n><nt><nn><sg><ins>/а²<n><nt><nn><sg><nom>/а²<n><nt><nn><sg><prp>/а¹<ij>$^-/-<guio>$^а/а<cnjcoo>/а²<n><nt><nn><pl><acc>/а²<n><nt><nn><pl><dat>/а²<n><nt><nn><pl><gen>/а²<n><nt><nn><pl><ins>/а²<n><nt><nn><pl><nom>/а²<n><nt><nn><pl><prp>/а²<n><nt><nn><sg><acc>/а²<n><nt><nn><sg><dat>/а²<n><nt><nn><sg><gen>/а²<n><nt><nn><sg><ins>/а²<n><nt><nn><sg><nom>/а²<n><nt><nn><sg><prp>/а¹<ij>$ 
     15 ЦК	     ^ЦК/*ЦК$ 
     15 Цао	     ^Цао/*Цао$ 
     15 Урал-Грейт	     ^Урал/Урал<np><al><m><nn><sg><acc>/Урал<np><al><m><nn><sg><nom>$^-/-<guio>$^Грейт/*Грейт$ 
     15 Солоницын	     ^Солоницын/*Солоницын$ 
     15 Рудик	     ^Рудик/*Рудик$ 
     15 пропевание	     ^пропевание/*пропевание$ 
     15 подсхема	     ^подсхема/*подсхема$ 
     15 НЛО	     ^НЛО/*НЛО$ 
     15 Минобороны	     ^Минобороны/*Минобороны$ 
     15 Киселев	     ^Киселев/*Киселев$ 
     15 Исаева	     ^Исаева/*Исаева$ 
     15 ЗПР	     ^ЗПР/*ЗПР$ 
     15 Зеленко	     ^Зеленко/*Зеленко$ 
     15 Греф	     ^Греф/*Греф$ 
     15 Борька	     ^Борька/*Борька$ 
     15 Болтянская	     ^Болтянская/*Болтянская$ 
     14 Эльдар	     ^Эльдар/*Эльдар$ 
     14 Шанкара	     ^Шанкара/*Шанкара$ 
     14 Хихус	     ^Хихус/*Хихус$ 
     14 ТВС	     ^ТВС/*ТВС$ 
     14 смысложизненный	     ^смысложизненный/*смысложизненный$ 
     14 самозанятость	     ^самозанятость/*самозанятость$ 
     14 раздать	     ^раздать/*раздать$ 
     14 Пумпянский	     ^Пумпянский/*Пумпянский$ 
     14 Оккервиль	     ^Оккервиль/*Оккервиль$ 
     14 Камий	     ^Камий/*Камий$ 
     14 Кадыров	     ^Кадыров/*Кадыров$ 
     14 интернет-трейдинг	     ^интернет/*интернет$-^трейдинг/трейдинг<n><m><nn><sg><acc>/трейдинг<n><m><nn><sg><nom>$ 
     14 Игнатич	     ^Игнатич/*Игнатич$ 
     14 З	     ^З/*З$ 
     14 ДНК	     ^ДНК/*ДНК$ 
     14 Борик	     ^Борик/*Борик$ 
     14 Алибеков	     ^Алибеков/*Алибеков$ 
     13 Язгуль	     ^Язгуль/*Язгуль$ 
     13 Эльконин	     ^Эльконин/*Эльконин$ 
     13 ТИПБ	     ^ТИПБ/*ТИПБ$ 
     13 таки	     ^таки/*таки$ 
     13 роспатент	     ^роспатент/*роспатент$ 
     13 Пратс	     ^Пратс/*Пратс$ 
     13 ПДК	     ^ПДК/*ПДК$ 
     13 ООП	     ^ООП/*ООП$ 
     13 Нинка	     ^Нинка/*Нинка$ 
     13 матренин	     ^матренин/*матренин$ 
     13 КУИ	     ^КУИ/*КУИ$ 
     13 Квашнин	     ^Квашнин/*Квашнин$ 
     13 знакосочетание	     ^знакосочетание/*знакосочетание$ 
     13 Виленкин	     ^Виленкин/*Виленкин$ 
     13 Вернер	     ^Вернер/*Вернер$ 
     13 Бабич	     ^Бабич/*Бабич$ 
     13 афферентация	     ^афферентация/*афферентация$ 
     13 Аравия	     ^Аравия/*Аравия$ 
     12 Ч	     ^Ч/*Ч$ 
     12 Хазанов	     ^Хазанов/*Хазанов$ 
     12 СС	     ^СС/*СС$ 
     12 сослаться	     ^сослаться/*сослаться$ 
     12 Сгибова	     ^Сгибова/*Сгибова$ 
     12 РСПП	     ^РСПП/*РСПП$ 
     12 ПФ	     ^ПФ/*ПФ$ 
     12 опереться	     ^опереться/*опереться$ 
     12 опв	     ^опв/*опв$ 
     12 ОМП	     ^ОМП/*ОМП$ 
     12 Наташка	     ^Наташка/*Наташка$ 
     12 ММВБ	     ^ММВБ/*ММВБ$ 
     12 ля-ля-ля	     ^ля/ля<n><nt><nn><pl><acc>/ля<n><nt><nn><pl><dat>/ля<n><nt><nn><pl><gen>/ля<n><nt><nn><pl><ins>/ля<n><nt><nn><pl><nom>/ля<n><nt><nn><pl><prp>/ля<n><nt><nn><sg><acc>/ля<n><nt><nn><sg><dat>/ля<n><nt><nn><sg><gen>/ля<n><nt><nn><sg><ins>/ля<n><nt><nn><sg><nom>/ля<n><nt><nn><sg><prp>$-^ля/ля<n><nt><nn><pl><acc>/ля<n><nt><nn><pl><dat>/ля<n><nt><nn><pl><gen>/ля<n><nt><nn><pl><ins>/ля<n><nt><nn><pl><nom>/ля<n><nt><nn><pl><prp>/ля<n><nt><nn><sg><acc>/ля<n><nt><nn><sg><dat>/ля<n><nt><nn><sg><gen>/ля<n><nt><nn><sg><ins>/ля<n><nt><nn><sg><nom>/ля<n><nt><nn><sg><prp>$-^ля/ля<n><nt><nn><pl><acc>/ля<n><nt><nn><pl><dat>/ля<n><nt><nn><pl><gen>/ля<n><nt><nn><pl><ins>/ля<n><nt><nn><pl><nom>/ля<n><nt><nn><pl><prp>/ля<n><nt><nn><sg><acc>/ля<n><nt><nn><sg><dat>/ля<n><nt><nn><sg><gen>/ля<n><nt><nn><sg><ins>/ля<n><nt><nn><sg><nom>/ля<n><nt><nn><sg><prp>$ 
     12 Килкенни	     ^Килкенни/*Килкенни$ 
     12 ГИБДД	     ^ГИБДД/*ГИБДД$ 
     12 акме	     ^акме/*акме$ 
     12 Агасси	     ^Агасси/*Агасси$ 
     11 ЧПУ	     ^ЧПУ/*ЧПУ$ 
     11 ЦСКА	     ^ЦСКА/*ЦСКА$ 
     11 Хусейн	     ^Хусейн/*Хусейн$ 
     11 Харлан	     ^Харлан/*Харлан$ 
     11 ФРС	     ^ФРС/*ФРС$ 
     11 Флойд	     ^Флойд/*Флойд$ 
     11 Уилер	     ^Уилер/*Уилер$ 
     11 Степашин	     ^Степашин/*Степашин$ 
     11 СМИ	     ^СМИ/*СМИ$ 
     11 Серена	     ^Серена/*Серена$ 
     11 Селезнев	     ^Селезнев/*Селезнев$ 
     11 СВК	     ^СВК/*СВК$ 
     11 Рябчук	     ^Рябчук/*Рябчук$ 
     11 Ремзик	     ^Ремзик/*Ремзик$ 
     11 перепроектирование	     ^перепроектирование/*перепроектирование$ 
     11 найм	     ^найм/*найм$ 
     11 Мясоедова	     ^Мясоедова/*Мясоедова$ 
     11 МНС	     ^МНС/*МНС$ 
     11 Минздрав	     ^Минздрав/*Минздрав$ 
     11 мениппов	     ^мениппов/*мениппов$ 
     11 ЛТП	     ^ЛТП/*ЛТП$ 
     11 локо	     ^локо/*локо$ 
     11 Кришнан	     ^Кришнан/*Кришнан$ 
     11 Крамаров	     ^Крамаров/*Крамаров$ 
     11 Коренев	     ^Коренев/*Коренев$ 
     11 Кириенко	     ^Кириенко/*Кириенко$ 
     11 интернет-компания	     ^интернет/*интернет$-^компания/компания<n><f><nn><sg><nom>$ 
     11 Илларионов	     ^Илларионов/*Илларионов$ 
     11 значенье	     ^значенье/*значенье$ 
     11 Дербина	     ^Дербина/*Дербина$ 
     11 Дагмара	     ^Дагмара/*Дагмара$ 
     11 Давид	     ^Давид/*Давид$ 
     11 Гротовский	     ^Гротовский/*Гротовский$ 
     11 Глазьев	     ^Глазьев/*Глазьев$ 
     11 Вольский	     ^Вольский/*Вольский$ 
     11 более-менее	     ^более/более<adv><comp>$^-/-<guio>$^менее/менее<adv><comp>$ 
     11 августодунский	     ^августодунский/*августодунский$ 
     10 ЯМР	     ^ЯМР/*ЯМР$ 
     10 Элвис	     ^Элвис/*Элвис$ 
     10 черняховский	     ^черняховский/*черняховский$ 
     10 Цыплаков	     ^Цыплаков/*Цыплаков$ 
     10 ЦРУ	     ^ЦРУ/*ЦРУ$ 
     10 Хлопонин	     ^Хлопонин/*Хлопонин$ 
     10 ФФ	     ^ФФ/*ФФ$ 
     10 УЕФА	     ^УЕФА/*УЕФА$ 
     10 среднеквадратический	     ^среднеквадратический/*среднеквадратический$ 
     10 СБС-Агро	     ^СБС/*СБС$^-/-<guio>$^Агро/*Агро$ 
     10 Ропня	     ^Ропня/*Ропня$ 
     10 РАО	     ^РАО/*РАО$ 
     10 однонаправленность	     ^однонаправленность/*однонаправленность$ 
     10 Обиора	     ^Обиора/*Обиора$ 
     10 НТВ	     ^НТВ/*НТВ$ 
     10 Нойс	     ^Нойс/*Нойс$ 
     10 Низьма	     ^Низьма/*Низьма$ 
     10 нерешенный	     ^нерешенный/*нерешенный$ 
     10 непроизведенный	     ^непроизведенный/*непроизведенный$ 
     10 информ-экспресс	     ^информ/*информ$^-/-<guio>$^экспресс/экспресс<n><m><nn><sg><acc>/экспресс<n><m><nn><sg><nom>$ 
     10 интернет-магазин	     ^интернет/*интернет$^-/-<guio>$^магазин/магазин<n><m><nn><sg><acc>/магазин<n><m><nn><sg><nom>$ 
     10 Доули	     ^Доули/*Доули$ 
     10 ГДР	     ^ГДР/*ГДР$ 
     10 буддхи	     ^буддхи/*буддхи$ 
     10 Алешкин	     ^Алешкин/*Алешкин$ 
     10 агаритянин	     ^агаритянин/*агаритянин$ 
      9 Шойгу	      ^Шойгу/*Шойгу$ 
      9 ЦБ	      ^ЦБ/*ЦБ$ 
      9 Хепберн	      ^Хепберн/*Хепберн$ 
      9 ТЮЗ	      ^ТЮЗ/*ТЮЗ$ 
      9 Тохир	      ^Тохир/*Тохир$ 
      9 Татарстан	      ^Татарстан/*Татарстан$ 
      9 симбун	      ^симбун/*симбун$ 
      9 сё	      ^сё/*сё$ 
      9 РТР	      ^РТР/*РТР$ 
      9 расцвести	      ^расцвести/*расцвести$ 
      9 Познер	      ^Познер/*Познер$ 
      9 Пехорка	      ^Пехорка/*Пехорка$ 
      9 Лоськов	      ^Лоськов/*Лоськов$ 
      9 Кушнарев	      ^Кушнарев/*Кушнарев$ 
      9 Колюней	      ^Колюней/*Колюней$ 
      9 колхидский	      ^колхидский/*колхидский$ 
      9 Коданев	      ^Коданев/*Коданев$ 
      9 Клийстерс	      ^Клийстерс/*Клийстерс$ 
      9 ИПБ	      ^ИПБ/*ИПБ$ 
      9 ЗАО	      ^ЗАО/*ЗАО$ 
      9 ЕГЭ	      ^ЕГЭ/*ЕГЭ$ 
      9 ГП	      ^ГП/*ГП$ 
      9 гидроструйный	      ^гидроструйный/*гидроструйный$ 
      9 генерал-капитан	      ^генерал/генерал<n><m><aa><sg><nom>$-^капитан/капитан<n><m><aa><sg><nom>$ 
      9 Гельман	      ^Гельман/*Гельман$ 
      9 Гарднер	      ^Гарднер/*Гарднер$ 
      9 Газзаев	      ^Газзаев/*Газзаев$ 
      9 Ватсон	      ^Ватсон/*Ватсон$ 
      9 Боярков	      ^Боярков/*Боярков$ 
      9 Алешин	      ^Алешин/*Алешин$ 
      9 АК	      ^АК/*АК$ 
      8 Юминова	      ^Юминова/*Юминова$ 
      8 Штайн	      ^Штайн/*Штайн$ 
      8 ХПФ	      ^ХПФ/*ХПФ$ 
      8 ХПК	      ^ХПК/*ХПК$ 
      8 усовский	      ^усовский/*усовский$ 
      8 Терекбаев	      ^Терекбаев/*Терекбаев$ 
      8 СФР	      ^СФР/*СФР$ 
      8 Септимий	      ^Септимий/*Септимий$ 
      8 Саддам	      ^Саддам/*Саддам$ 
      8 РФС	      ^РФС/*РФС$ 
      8 РПЦ	      ^РПЦ/*РПЦ$ 
      8 Ричард	      ^Ричард/*Ричард$ 
      8 радиопульсар	      ^радиопульсар/*радиопульсар$ 
      8 р	      ^р/*р$ 
      8 пушкинистский	      ^пушкинистский/*пушкинистский$ 
      8 программистский	      ^программистский/*программистский$ 
      8 Подводречстрой	      ^Подводречстрой/*Подводречстрой$ 
      8 ООО	      ^ООО/*ООО$ 
      8 Непомнящий	      ^Непомнящий/*Непомнящий$ 
      8 немногий	      ^немногий/*немногий$ 
      8 НБА	      ^НБА/*НБА$ 
      8 Нахабцев	      ^Нахабцев/*Нахабцев$ 
      8 Мориарти	      ^Мориарти/*Мориарти$ 
      8 мондео	      ^мондео/*мондео$ 
      8 Меченов	      ^Меченов/*Меченов$ 
      8 Мергенов	      ^Мергенов/*Мергенов$ 
      8 Машка	      ^Машка/*Машка$ 
      8 макросемья	      ^макросемья/*макросемья$ 
      8 ЛДП	      ^ЛДП/*ЛДП$ 
      8 ла	      ^ла/*ла$ 
      8 ковариационный	      ^ковариационный/*ковариационный$ 
      8 Ким	      ^Ким/*Ким$ 
      8 Кемерово	      ^Кемерово/*Кемерово$ 
      8 Кафка	      ^Кафка/*Кафка$ 
      8 Исс	      ^Исс/*Исс$ 
      8 Интер	      ^Интер/*Интер$ 
      8 изжить	      ^изжить/*изжить$ 
      8 ИЗВ	      ^ИЗВ/*ИЗВ$ 
      8 заснеженный	      ^заснеженный/*заснеженный$ 
      8 ЕЭС	      ^ЕЭС/*ЕЭС$ 
      8 Ермишин	      ^Ермишин/*Ермишин$ 
      8 евросоюз	      ^евросоюз/*евросоюз$ 
      8 диавол	      ^диавол/*диавол$ 
      8 девятимерный	      ^девятимерный/*девятимерный$ 
      8 Девис	      ^Девис/*Девис$ 
      8 Гусинский	      ^Гусинский/*Гусинский$ 
      8 ГУВД	      ^ГУВД/*ГУВД$ 
      8 Герман	      ^Герман/*Герман$ 
      8 ГБ	      ^ГБ/*ГБ$ 
      8 Буинск	      ^Буинск/*Буинск$ 
      8 Бордюжа	      ^Бордюжа/*Бордюжа$ 
      8 бизнес-сообщество	      ^бизнес/бизнес<n><m><nn><sg><acc>/бизнес<n><m><nn><sg><nom>$-^сообщество/сообщество<n><nt><nn><sg><acc>/сообщество<n><nt><nn><sg><nom>$ 
      8 Барайнски	      ^Барайнски/*Барайнски$ 
      7 юрин	      ^юрин/*юрин$ 
      7 эпикантус	      ^эпикантус/*эпикантус$ 
      7 Эверетт	      ^Эверетт/*Эверетт$ 
      7 Ъ	      ^Ъ/*Ъ$ 
      7 Ширвиндт	      ^Ширвиндт/*Ширвиндт$ 
      7 Шереметьево	      ^Шереметьево/*Шереметьево$ 
      7 Черешкин	      ^Черешкин/*Черешкин$ 
      7 Хуай-Нен	      ^Хуай/*Хуай$-^Нен/*Нен$ 
      7 Хань	      ^Хань/*Хань$ 
      7 Францев	      ^Францев/*Францев$ 
      7 Тулеев	      ^Тулеев/*Тулеев$ 
      7 титаник	      ^титаник/*титаник$ 
      7 Тезагран	      ^Тезагран/*Тезагран$ 
      7 ТВЦ	      ^ТВЦ/*ТВЦ$ 
      7 слать	      ^слать/*слать$ 
      7 СК	      ^СК/*СК$ 
      7 Сидейкин	      ^Сидейкин/*Сидейкин$ 
      7 САЮЛ	      ^САЮЛ/*САЮЛ$ 
      7 санкхья-карика	      ^санкхья/*санкхья$-^карика/*карика$ 
      7 Романцев	      ^Романцев/*Романцев$ 
      7 Рогозин	      ^Рогозин/*Рогозин$ 
      7 Робертсон	      ^Робертсон/*Робертсон$ 
      7 Радда	      ^Радда/*Радда$ 
      7 пресс-служба	      ^пресс/пресс<n><m><nn><sg><acc>/пресс<n><m><nn><sg><nom>/пресса<n><f><nn><pl><gen>$-^служба/служба<n><f><nn><sg><nom>$ 
      7 Палыч	      ^Палыч/*Палыч$ 
      7 Одкб	      ^Одкб/*Одкб$ 
      7 НПО	      ^НПО/*НПО$ 
      7 Муравчик	      ^Муравчик/*Муравчик$ 
      7 Минтруд	      ^Минтруд/*Минтруд$ 
      7 манас	      ^манас/*манас$ 
      7 м	      ^м/*м$ 
      7 Лукашенко	      ^Лукашенко/*Лукашенко$ 
      7 Кузьмич	      ^Кузьмич/*Кузьмич$ 
      7 койсанский	      ^койсанский/*койсанский$ 
      7 Коидзуми	      ^Коидзуми/*Коидзуми$ 
      7 Клавье	      ^Клавье/*Клавье$ 
      7 Кинель-Черкассы	      ^Кинель/Кинель<np><al><f><nn><sg><acc>/Кинель<np><al><f><nn><sg><nom>$^-/-<guio>$^Черкассы/Черкассы<np><al><f><nn><pl><acc>/Черкассы<np><al><f><nn><pl><nom>$ 
      7 Кваша	      ^Кваша/*Кваша$ 
      7 интернет-юмор	      ^интернет/*интернет$^-/-<guio>$^юмор/юмор<n><m><nn><sg><acc>/юмор<n><m><nn><sg><nom>$ 
      7 ЖКХ	      ^ЖКХ/*ЖКХ$ 
      7 Гулин	      ^Гулин/*Гулин$ 
      7 Грожан	      ^Грожан/*Грожан$ 
      7 Гжелка	      ^Гжелка/*Гжелка$ 
      7 Гельдыевич	      ^Гельдыевич/*Гельдыевич$ 
      7 газопылевой	      ^газопылевой/*газопылевой$ 
      7 Вто	      ^Вто/*Вто$ 
      7 Вичуга	      ^Вичуга/*Вичуга$ 
      7 Винус	      ^Винус/*Винус$ 
      7 ванщица	      ^ванщица/*ванщица$ 
      7 бен	      ^бен/*бен$ 
      7 Башелукова	      ^Башелукова/*Башелукова$ 
      7 барстер	      ^барстер/*барстер$ 
      7 афразийский	      ^афразийский/*афразийский$ 
      7 астрофитум	      ^астрофитум/*астрофитум$ 
      7 Антошка	      ^Антошка/*Антошка$ 
      7 антипирен	      ^антипирен/*антипирен$ 
      7 аккрецирующий	      ^аккрецирующий/*аккрецирующий$ 
      7 аккреционный	      ^аккреционный/*аккреционный$ 
      6 Ярцево	      ^Ярцево/*Ярцево$ 
      6 ЮПС	      ^ЮПС/*ЮПС$ 
      6 э-э	      ^э/э²<ij>/э¹<n><nt><nn><pl><acc>/э¹<n><nt><nn><pl><dat>/э¹<n><nt><nn><pl><gen>/э¹<n><nt><nn><pl><ins>/э¹<n><nt><nn><pl><nom>/э¹<n><nt><nn><pl><prp>/э¹<n><nt><nn><sg><acc>/э¹<n><nt><nn><sg><dat>/э¹<n><nt><nn><sg><gen>/э¹<n><nt><nn><sg><ins>/э¹<n><nt><nn><sg><nom>/э¹<n><nt><nn><sg><prp>$^-/-<guio>$^э/э²<ij>/э¹<n><nt><nn><pl><acc>/э¹<n><nt><nn><pl><dat>/э¹<n><nt><nn><pl><gen>/э¹<n><nt><nn><pl><ins>/э¹<n><nt><nn><pl><nom>/э¹<n><nt><nn><pl><prp>/э¹<n><nt><nn><sg><acc>/э¹<n><nt><nn><sg><dat>/э¹<n><nt><nn><sg><gen>/э¹<n><nt><nn><sg><ins>/э¹<n><nt><nn><sg><nom>/э¹<n><nt><nn><sg><prp>$ 
      6 энергоресурс	      ^энергоресурс/*энергоресурс$ 
      6 Эме	      ^Эме/*Эме$ 
      6 Эл	      ^Эл/*Эл$ 
      6 экстенсиональный	      ^экстенсиональный/*экстенсиональный$ 
      6 Шипоглаз	      ^Шипоглаз/*Шипоглаз$ 
      6 Шевченко	      ^Шевченко/*Шевченко$ 
      6 член-корреспондент	      ^член/член<n><m><aa><sg><nom>/член<n><m><nn><sg><acc>/член<n><m><nn><sg><nom>$-^корреспондент/корреспондент<n><m><aa><sg><nom>$ 
      6 Чжоу	      ^Чжоу/*Чжоу$ 
      6 ч	      ^ч/*ч$ 
      6 ЦНС	      ^ЦНС/*ЦНС$ 
      6 Хвольсон	      ^Хвольсон/*Хвольсон$ 
      6 Х	      ^Х/*Х$ 
      6 Форбс	      ^Форбс/*Форбс$ 
      6 ФМ	      ^ФМ/*ФМ$ 
      6 фаст-фуд	      ^фаст/*фаст$^-/-<guio>$^фуд/*фуд$ 
      6 уэстмидлендский	      ^уэстмидлендский/*уэстмидлендский$ 
      6 УМЦ	      ^УМЦ/*УМЦ$ 
      6 УВД	      ^УВД/*УВД$ 
      6 Трюдо	      ^Трюдо/*Трюдо$ 
      6 травестия	      ^травестия/*травестия$ 
      6 Торфопродукт	      ^Торфопродукт/*Торфопродукт$ 
